DFT_ID,Alloy,Ti,Zr,Hf,V,Nb,Ta,Mo,W,Re
DFT_0045,Hf1Ta90W9,0,0,1,0,0,90,0,9,0
DFT_0046,Hf1Ta91W6Re2,0,0,1,0,0,91,0,6,2
DFT_0047,Hf1Ta91W7Re1,0,0,1,0,0,91,0,7,1
DFT_0048,Hf1Ta91W8,0,0,1,0,0,91,0,8,0
DFT_0049,Hf1V17Nb41Ta41,0,0,1,17,41,41,0,0,0
DFT_0050,Hf2Ta88W10,0,0,2,0,0,88,0,10,0
DFT_0051,Hf2Ta90W7Re1,0,0,2,0,0,90,0,7,1
DFT_0052,Hf2Ta90W8,0,0,2,0,0,90,0,8,0
DFT_0053,Hf2Ta91W7,0,0,2,0,0,91,0,7,0
DFT_0054,Hf3Ta87W10,0,0,3,0,0,87,0,10,0
DFT_0055,Hf3Ta89W8,0,0,3,0,0,89,0,8,0
DFT_0056,Hf3V15Nb40Ta40Mo2,0,0,3,15,40,40,2,0,0
DFT_0057,Hf3V15Nb41Ta41,0,0,3,15,41,41,0,0,0
DFT_0058,Hf4V19Nb38Ta39,0,0,4,19,38,39,0,0,0
DFT_0059,Hf7Nb23Ta23Mo23W24,0,0,7,0,23,23,23,24,0
DFT_0060,Hf7Nb30Ta31W32,0,0,7,0,30,31,0,32,0
DFT_0061,Hf7Nb31Ta31W31,0,0,7,0,31,31,0,31,0
DFT_0062,Hf7Nb32Ta30W31,0,0,7,0,32,30,0,31,0
DFT_0063,Hf8Nb30Ta31W31,0,0,8,0,30,31,0,31,0
DFT_0064,Hf8Nb31Ta30W31,0,0,8,0,31,30,0,31,0
DFT_0065,Hf8Nb31Ta31W30,0,0,8,0,31,31,0,30,0
DFT_0066,Hf10Nb44Ta44W2,0,0,10,0,44,44,0,2,0
DFT_0067,Hf15Nb21Ta21Mo22W21,0,0,15,0,21,21,22,21,0
DFT_0068,Hf19Nb75W6,0,0,19,0,75,0,0,6,0
DFT_0069,Hf20Nb20Ta20Mo20W20,0,0,20,0,20,20,20,20,0
DFT_0070,Hf51Ta19Mo30,0,0,51,0,0,19,30,0,0
DFT_0071,Hf58Ta21Mo21,0,0,58,0,0,21,21,0,0
DFT_0072,Hf61Ta23Mo16,0,0,61,0,0,23,16,0,0
DFT_0073,Hf69Ta26Mo5,0,0,69,0,0,26,5,0,0
DFT_0074,Zr1Ta89W9Re1,0,1,0,0,0,89,0,9,1
DFT_0075,Zr1Ta91W7Re1,0,1,0,0,0,91,0,7,1
DFT_0076,Zr1Ta91W8,0,1,0,0,0,91,0,8,0
DFT_0077,Zr1Ta91Mo1W7,0,1,0,0,0,91,1,7,0
DFT_0078,Zr1Ta91Mo2W4Re2,0,1,0,0,0,91,2,4,2
DFT_0079,Zr1Ta93W5Re1,0,1,0,0,0,93,0,5,1
DFT_0080,Zr1Nb75Ta18W6,0,1,0,0,75,18,0,6,0
DFT_0081,Zr1Nb88Mo4W7,0,1,0,0,88,0,4,7,0
DFT_0082,Zr1Nb89Ta4Mo2W4,0,1,0,0,89,4,2,4,0
DFT_0083,Zr1Nb90Mo4W5,0,1,0,0,90,0,4,5,0
DFT_0084,Zr1Nb94W5,0,1,0,0,94,0,0,5,0
DFT_0085,Zr1Nb94Mo2W3,0,1,0,0,94,0,2,3,0
DFT_0086,Zr1Nb95Mo2W2,0,1,0,0,95,0,2,2,0
DFT_0087,Zr1Nb96W3,0,1,0,0,96,0,0,3,0
DFT_0088,Zr1Nb96Mo2W1,0,1,0,0,96,0,2,1,0
DFT_0089,Zr1Hf1Ta90W7Re1,0,1,1,0,0,90,0,7,1
DFT_0090,Zr1Hf1Ta91Mo1W5Re1,0,1,1,0,0,91,1,5,1
DFT_0091,Zr1Hf1Ta91Mo1W6,0,1,1,0,0,91,1,6,0
DFT_0092,Zr2Nb86Ta5Mo2W5,0,2,0,0,86,5,2,5,0
DFT_0093,Zr2Nb87Ta5Mo2W4,0,2,0,0,87,5,2,4,0
DFT_0094,Zr2Nb92Mo2W4,0,2,0,0,92,0,2,4,0
DFT_0095,Zr3Nb24Ta24Mo24W25,0,3,0,0,24,24,24,25,0
DFT_0096,Zr3Nb86Ta5Mo2W4,0,3,0,0,86,5,2,4,0
DFT_0097,Zr3Nb92W5,0,3,0,0,92,0,0,5,0
DFT_0098,Zr5Nb95,0,5,0,0,95,0,0,0,0
DFT_0099,Zr11Nb22Ta22Mo23W22,0,11,0,0,22,22,23,22,0
DFT_0100,Zr20Nb20Ta20Mo20W20,0,20,0,0,20,20,20,20,0
DFT_0101,Zr34Nb33Ta33,0,34,0,0,33,33,0,0,0
DFT_0102,Ti1Zr1Mo98,1,1,0,0,0,0,98,0,0
DFT_0103,Ti2Zr1Hf5Nb92,2,1,5,0,92,0,0,0,0
DFT_0104,Ti2Zr1Hf6Nb91,2,1,6,0,91,0,0,0,0
DFT_0105,Ti3V15Nb39Ta40Mo3,3,0,0,15,39,40,3,0,0
DFT_0106,Ti3V15Nb40Ta40Mo2,3,0,0,15,40,40,2,0,0
DFT_0107,Ti3V15Nb41Ta41,3,0,0,15,41,41,0,0,0
DFT_0108,Ti6Nb24Ta23Mo24W23,6,0,0,0,24,23,24,23,0
DFT_0109,Ti8V25Nb33Ta34,8,0,0,25,33,34,0,0,0
DFT_0110,Ti10Hf10V10Nb45Ta25,10,0,10,10,45,25,0,0,0
DFT_0111,Ti10Zr1Nb76Mo5W8,10,1,0,0,76,0,5,8,0
